Temp	FM	Psi	Date
10.8231770833333	51.0926145833333	-0.69974406434522	2010-12-15
11.2763333333333	59.2778125	-0.590704686312865	2010-12-16
9.69613541666667	65.8967916666667	-0.523554890017108	2010-12-17
12.6265833333333	69.7083125	-0.491047019624175	2010-12-18
12.4427708333333	70.7635208333333	-0.482708265022106	2010-12-19
12.272	70.9378020833333	-0.481356541795528	2010-12-20
10.80175	70.9186979166667	-0.481504366583044	2010-12-21
12.0805208333333	70.9028214285714	-0.48162728099642	2010-12-22
10.4186041666667	70.9104047619047	-0.48156856413127	2010-12-23
12.3982604166667	70.9179880952381	-0.48150986070234	2010-12-24
10.8390520833333	70.9255714285714	-0.48145117070512	2010-12-25
10.4173125	70.6826833333333	-0.483337661324761	2010-12-26
10.0441041666667	70.7447666666667	-0.482854146816755	2010-12-27
12.91078125	70.5797888888889	-0.484141023459332	2010-12-28
10.7711979166667	70.4148111111111	-0.485434353422906	2010-12-29
7.12040625	70.2498333333333	-0.486734184302808	2010-12-30
5.66272916666667	70.3634479166667	-0.485838335835768	2010-12-31
7.2355625	70.4166458333333	-0.485419934608446	2011-01-01
7.79833333333333	70.5630520833333	-0.484271935369215	2011-01-02
9.12442708333333	69.61684375	-0.491782593457233	2011-01-03
10.3337708333333	70.02628125	-0.488505970480527	2011-01-04
12.563375	70.5579270833333	-0.484312035373352	2011-01-05
15.8237083333333	70.37596875	-0.48573979866889	2011-01-06
11.6829270833333	69.6692083333333	-0.491361234795787	2011-01-07
8.74860416666667	69.5641145833333	-0.492207571691866	2011-01-08
9.623875	69.4209166666667	-0.493365181411127	2011-01-09
8.7745	69.3588020833333	-0.493868905312093	2011-01-10
12.6834166666667	67.61225	-0.508438636766161	2011-01-11
13.9547291666667	66.2704479166667	-0.520190954243227	2011-01-12
17.2027395833333	64.7156666666667	-0.534461885079301	2011-01-13
18.9691770833333	62.7622708333333	-0.553466104941139	2011-01-14
21.9568125	55.7206979166667	-0.633882299268153	2011-01-15
19.0203125	52.9335416666667	-0.672069524791208	2011-01-16
20.6832395833333	53.0270208333333	-0.670719060716632	2011-01-17
20.2090729166667	52.89628125	-0.672609237978287	2011-01-18
15.6512916666667	52.4372083333333	-0.679326235546516	2011-01-19
15.61246875	49.2181041666667	-0.730205541053816	2011-01-20
17.3598854166667	41.6191979166667	-0.884041521830899	2011-01-21
15.3128854166667	41.7583958333333	-0.880682869913589	2011-01-22
16.3353333333333	40.6933020833333	-0.907008476354302	2011-01-23
16.0706979166667	37.8198541666667	-0.985977171564146	2011-01-24
16.0331979166667	38.3386875	-0.970780477182808	2011-01-25
16.560875	37.9054375	-0.983439761218046	2011-01-26
18.4011145833333	33.8383229166667	-1.11928690248264	2011-01-27
16.5112083333333	33.2635729166667	-1.14136078585447	2011-01-28
12.65953125	33.61471875	-1.12777867743283	2011-01-29
9.85884375	37.1970729166667	-1.00481820604823	2011-01-30
10.0733333333333	68.63815625	-0.49978439790801	2011-01-31
9.41313541666667	68.3192916666667	-0.502444462304296	2011-02-01
10.5304479166667	62.7426354166667	-0.55366356658962	2011-02-02
9.74172916666667	49.5236770833333	-0.725071444883818	2011-02-03
8.29684375	45.5548333333333	-0.797513791108645	2011-02-04
11.0795416666667	43.3041979166667	-0.844934979403237	2011-02-05
14.96234375	40.9124791666667	-0.901471248446024	2011-02-06
17.07209375	37.4929791666667	-0.995782626955663	2011-02-07
12.6018958333333	35.9123541666667	-1.0458983326933	2011-02-08
12.8931145833333	32.6972395833333	-1.16392459815574	2011-02-09
14.1285208333333	26.25425	-1.49478911253171	2011-02-10
15.8467708333333	23.770625	-1.67409925747746	2011-02-11
19.04675	22.0171354166667	-1.82692265429017	2011-02-12
15.92471875	21.8049791666667	-1.84720041691028	2011-02-13
10.9657604166667	22.6020104166667	-1.77312693874704	2011-02-14
11.6385729166667	24.0501875	-1.65193302955062	2011-02-15
11.87271875	45.2189791666667	-0.804269925758684	2011-02-16
8.5089375	67.94875	-0.505569203020026	2011-02-17
8.79969791666667	66.5728125	-0.517498406675227	2011-02-18
9.36260416666667	69.669375	-0.49135989477201	2011-02-19
6.64896875	70.1917291666667	-0.487193533745969	2011-02-20
7.3815625	69.44090625	-0.493203279133876	2011-02-21
7.83358333333333	67.7696458333333	-0.507092681104502	2011-02-22
7.79904166666667	64.70153125	-0.534594998635902	2011-02-23
8.81388541666667	61.0973020833333	-0.570692770248241	2011-02-24
8.68788541666667	57.4124375	-0.612633392530646	2011-02-25
7.89108333333333	66.380625	-0.519206791101374	2011-02-26
5.26395833333333	67.9430729166667	-0.505617360980544	2011-02-27
9.2076875	64.6175833333333	-0.535386822219099	2011-02-28
9.28847916666667	57.1249375	-0.616149566718208	2011-03-01
10.1202604166667	53.8593854166667	-0.658915160681947	2011-03-02
12.6196875	52.7267916666667	-0.675074578798416	2011-03-03
11.8587083333333	51.7801041666667	-0.689162694116016	2011-03-04
19.0811041666667	45.7204166666667	-0.794221946957624	2011-03-05
14.2588645833333	39.1864583333333	-0.946874526355883	2011-03-06
11.0624375	58.0620729166667	-0.604825365629936	2011-03-07
10.8482708333333	67.36890625	-0.510532815667091	2011-03-08
17.530125	63.2766530612245	-0.548339963824094	2011-03-09
17.7805833333333	54.8909693877551	-0.644816975130868	2011-03-10
14.62384375	49.7538645833333	-0.721248485265439	2011-03-11
12.0785208333333	44.9067708333333	-0.810647422272036	2011-03-12
11.7858854166667	40.6034270833333	-0.909297549405929	2011-03-13
13.5787395833333	37.3063020833333	-1.00146500440344	2011-03-14
